"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 13 00:59:00 MSK 2025","Mon Jan 13 00:59:29 MSK 2025","29186","","ru.stellarburgers.tests.registrationusertests.RegistrationUserTest","","ru.stellarburgers.tests.registrationusertests.RegistrationUserTest","testRegistrationWithValidCredentialsSuccess","Успешная регистрация с валидными данными",""
"passed","Mon Jan 13 01:00:27 MSK 2025","Mon Jan 13 01:00:53 MSK 2025","26758","","ru.stellarburgers.tests.logintests.LoginUserTest","","ru.stellarburgers.tests.logintests.LoginUserTest","testLoginFromRegisterPageSuccess","Успешный Вход со страницы регистрации",""
"passed","Mon Jan 13 00:57:51 MSK 2025","Mon Jan 13 00:58:16 MSK 2025","24302","","ru.stellarburgers.tests.personalaccounttests.PersonalAccountTest","","ru.stellarburgers.tests.personalaccounttests.PersonalAccountTest","testExitFromPersonalAccountSuccess","Успешный выход из личного кабинета по кнопке 'Выход'",""
"passed","Mon Jan 13 00:58:42 MSK 2025","Mon Jan 13 00:58:59 MSK 2025","16929","","ru.stellarburgers.tests.constructortests.ConstructorTest","","ru.stellarburgers.tests.constructortests.ConstructorTest","testTabSelectionIsSuccessful[Таб: Начинки выбран, ожидаемый результат true]","Успешный выбор табов в конструкторе",""
"passed","Mon Jan 13 00:56:23 MSK 2025","Mon Jan 13 00:57:03 MSK 2025","40346","","ru.stellarburgers.tests.personalaccounttests.PersonalAccountTest","","ru.stellarburgers.tests.personalaccounttests.PersonalAccountTest","testRedirectToMainPageFromPersonalAccountViaLogoSuccess","Успешный переход на главную из личного кабинета через логотип 'stellar burgers' и выбор конструктора 'Булки'",""
"passed","Mon Jan 13 00:59:48 MSK 2025","Mon Jan 13 01:00:07 MSK 2025","19114","","ru.stellarburgers.tests.logintests.LoginUserTest","","ru.stellarburgers.tests.logintests.LoginUserTest","testLoginBySignInButtonFromHomePageSuccess","Успешный вход с главной по кнопке 'Войти в аккаунт'",""
"passed","Mon Jan 13 00:58:16 MSK 2025","Mon Jan 13 00:58:28 MSK 2025","12342","","ru.stellarburgers.tests.constructortests.ConstructorTest","","ru.stellarburgers.tests.constructortests.ConstructorTest","testTabSelectionIsSuccessful[Таб: Булки выбран, ожидаемый результат true]","Успешный выбор табов в конструкторе",""
"passed","Mon Jan 13 00:58:28 MSK 2025","Mon Jan 13 00:58:42 MSK 2025","14025","","ru.stellarburgers.tests.constructortests.ConstructorTest","","ru.stellarburgers.tests.constructortests.ConstructorTest","testTabSelectionIsSuccessful[Таб: Соусы выбран, ожидаемый результат true]","Успешный выбор табов в конструкторе",""
"passed","Mon Jan 13 00:57:03 MSK 2025","Mon Jan 13 00:57:30 MSK 2025","26718","","ru.stellarburgers.tests.personalaccounttests.PersonalAccountTest","","ru.stellarburgers.tests.personalaccounttests.PersonalAccountTest","testRedirectToMainPageFromPersonalAccountViaConstructorTabSuccess","Успешный переход на главную из личного кабинета через таб 'Конструктор' и выбор конструктора 'Булки'",""
"passed","Mon Jan 13 01:00:53 MSK 2025","Mon Jan 13 01:01:17 MSK 2025","23176","","ru.stellarburgers.tests.logintests.LoginUserTest","","ru.stellarburgers.tests.logintests.LoginUserTest","testLoginFromPasswordRecoveryPageSuccess","Успешный Вход со страницы восстановления пароля",""
"passed","Mon Jan 13 00:59:29 MSK 2025","Mon Jan 13 00:59:48 MSK 2025","18746","","ru.stellarburgers.tests.registrationusertests.RegistrationUserTest","","ru.stellarburgers.tests.registrationusertests.RegistrationUserTest","testRegistrationWithPasswordLessThen6CharError","Неуспешная регистрация с паролем <6 символов",""
"passed","Mon Jan 13 01:00:07 MSK 2025","Mon Jan 13 01:00:27 MSK 2025","19770","","ru.stellarburgers.tests.logintests.LoginUserTest","","ru.stellarburgers.tests.logintests.LoginUserTest","testLoginByPersonalAccountLinkFromHomePageHeaderSuccess","Успешный вход с главной через кнопку 'Личный кабинет'",""
"passed","Mon Jan 13 00:57:30 MSK 2025","Mon Jan 13 00:57:51 MSK 2025","21518","","ru.stellarburgers.tests.personalaccounttests.PersonalAccountTest","","ru.stellarburgers.tests.personalaccounttests.PersonalAccountTest","testAuthorizedUserCanAccessPersonalAccountSuccess","Успешный переход в личный кабинет авторизованным пользователем по кнопке 'Личный кабинет' с главной",""
